order_id,customer_id,order_date,payment_method,order_status
ORD00000001,CUST007481,2024-08-08,Apple Pay,Completed
ORD00000002,CUST006061,2024-01-27,Google Pay,Cancelled
ORD00000003,CUST006734,2024-08-18,Bank Transfer,Completed
ORD00000004,CUST008553,2024-06-15,PayPal,Returned
ORD00000005,CUST001307,2024-10-26,Debit Card,Shipped
ORD00000006,CUST005310,2024-01-20,Buy Now Pay Later,Processing
ORD00000007,CUST006442,2024-04-28,Google Pay,Completed
ORD00000008,CUST001848,2024-02-29,Debit Card,Completed
ORD00000009,CUST002916,2024-01-19,Bank Transfer,Completed
ORD00000010,CUST005989,2024-09-08,PayPal,Completed
ORD00000011,CUST000948,2024-05-20,Credit Card,Completed
ORD00000012,CUST007035,2024-12-18,Bank Transfer,Completed
ORD00000013,CUST003664,2024-05-09,Credit Card,Completed
ORD00000014,CUST004704,2024-05-26,Apple Pay,Completed
ORD00000015,CUST008553,2024-05-19,Credit Card,Cancelled
ORD00000016,CUST001781,2024-07-17,Bank Transfer,Completed
ORD00000017,CUST000161,2024-06-15,PayPal,Completed
ORD00000018,CUST002190,2024-11-16,Bank Transfer,Completed
ORD00000019,CUST002915,2024-08-14,Credit Card,Shipped
ORD00000020,CUST004337,2024-03-28,Apple Pay,Completed
ORD00000021,CUST003744,2024-01-17,Buy Now Pay Later,Completed
ORD00000022,CUST000843,2024-09-26,Bank Transfer,Completed
ORD00000023,CUST009154,2024-12-27,Apple Pay,Completed
ORD00000024,CUST006114,2024-01-11,Debit Card,Completed
ORD00000025,CUST002798,2024-07-12,Credit Card,Shipped
ORD00000026,CUST001278,2024-03-13,PayPal,Completed
ORD00000027,CUST001133,2024-02-09,Credit Card,Completed
ORD00000028,CUST007605,2024-06-18,Buy Now Pay Later,Completed
ORD00000029,CUST001891,2024-07-07,Apple Pay,Completed
ORD00000030,CUST001026,2024-02-12,Bank Transfer,Completed
ORD00000031,CUST002565,2024-01-03,Google Pay,Shipped
ORD00000032,CUST006050,2024-04-12,PayPal,Cancelled
ORD00000033,CUST006742,2024-12-23,Bank Transfer,Completed
ORD00000034,CUST003421,2024-03-25,Bank Transfer,Completed
ORD00000035,CUST005280,2024-06-21,PayPal,Completed
ORD00000036,CUST004266,2024-05-04,Apple Pay,Processing
ORD00000037,CUST004032,2024-06-09,Bank Transfer,Completed
ORD00000038,CUST001106,2024-05-09,Google Pay,Completed
ORD00000039,CUST003306,2024-12-18,Google Pay,Completed
ORD00000040,CUST006183,2024-09-28,Bank Transfer,Completed
ORD00000041,CUST001287,2024-11-19,PayPal,Completed
ORD00000042,CUST007624,2024-11-27,PayPal,Completed
ORD00000043,CUST009200,2024-10-16,Bank Transfer,Cancelled
ORD00000044,CUST004792,2024-08-05,Buy Now Pay Later,Completed
ORD00000045,CUST002216,2024-12-19,Buy Now Pay Later,Completed
ORD00000046,CUST006096,2024-12-23,Credit Card,Completed
ORD00000047,CUST005324,2024-12-04,Bank Transfer,Completed
ORD00000048,CUST009713,2024-09-03,Bank Transfer,Completed
ORD00000049,CUST002787,2024-06-15,Apple Pay,Completed
ORD00000050,CUST005046,2024-05-12,PayPal,Completed
ORD00000051,CUST006102,2024-12-02,Bank Transfer,Completed
ORD00000052,CUST005706,2024-02-24,Apple Pay,Completed
ORD00000053,CUST008147,2024-04-22,Bank Transfer,Completed
ORD00000054,CUST007585,2024-10-28,Bank Transfer,Completed
ORD00000055,CUST006989,2024-12-27,Bank Transfer,Completed
ORD00000056,CUST008918,2024-08-29,PayPal,Completed
ORD00000057,CUST001158,2024-03-29,PayPal,Completed
ORD00000058,CUST007195,2024-03-31,Bank Transfer,Completed
ORD00000059,CUST001873,2024-03-12,Apple Pay,Completed
ORD00000060,CUST000185,2024-04-30,Google Pay,Completed
ORD00000061,CUST009802,2024-02-07,PayPal,Completed
ORD00000062,CUST003551,2024-03-31,Apple Pay,Completed
ORD00000063,CUST005775,2024-01-24,Buy Now Pay Later,Completed
ORD00000064,CUST001507,2024-09-12,PayPal,Completed
ORD00000065,CUST005644,2024-03-17,PayPal,Completed
ORD00000066,CUST009702,2024-06-21,Credit Card,Completed
ORD00000067,CUST005521,2024-03-13,PayPal,Completed
ORD00000068,CUST005922,2024-11-02,Debit Card,Completed
ORD00000069,CUST005429,2024-10-25,Google Pay,Completed
ORD00000070,CUST002868,2024-10-23,Apple Pay,Completed
ORD00000071,CUST005038,2024-06-07,Google Pay,Completed
ORD00000072,CUST009427,2024-07-31,PayPal,Completed
ORD00000073,CUST006512,2024-12-28,Bank Transfer,Completed
ORD00000074,CUST002390,2024-09-03,Buy Now Pay Later,Completed
ORD00000075,CUST001088,2024-07-11,PayPal,Completed
ORD00000076,CUST004773,2024-04-16,Credit Card,Completed
ORD00000077,CUST009039,2024-02-28,Google Pay,Completed
ORD00000078,CUST005787,2024-05-14,Apple Pay,Completed
ORD00000079,CUST005338,2024-11-10,Bank Transfer,Completed
ORD00000080,CUST007322,2024-04-04,Buy Now Pay Later,Completed
ORD00000081,CUST004286,2024-02-03,Google Pay,Completed
ORD00000082,CUST002280,2024-05-01,Credit Card,Completed
ORD00000083,CUST001298,2024-04-22,Credit Card,Completed
ORD00000084,CUST001106,2024-06-16,Debit Card,Completed
ORD00000085,CUST005828,2024-06-14,Bank Transfer,Completed
ORD00000086,CUST006162,2024-12-11,Bank Transfer,Completed
ORD00000087,CUST003507,2024-12-19,Credit Card,Completed
ORD00000088,CUST007367,2024-07-10,Buy Now Pay Later,Processing
ORD00000089,CUST000210,2024-02-07,Bank Transfer,Completed
ORD00000090,CUST003523,2024-06-18,Buy Now Pay Later,Completed
ORD00000091,CUST008433,2024-01-30,PayPal,Completed
ORD00000092,CUST007385,2024-06-14,Google Pay,Completed
ORD00000093,CUST003008,2024-03-19,PayPal,Completed
ORD00000094,CUST004821,2024-01-07,Google Pay,Completed
ORD00000095,CUST008900,2024-07-06,Buy Now Pay Later,Completed
ORD00000096,CUST009286,2024-05-13,Credit Card,Completed
ORD00000097,CUST009458,2024-08-14,Bank Transfer,Completed
ORD00000098,CUST007202,2024-10-27,Debit Card,Completed
ORD00000099,CUST003935,2024-08-01,Credit Card,Processing
ORD00000100,CUST002709,2024-06-02,Apple Pay,Completed
ORD00000101,CUST005304,2024-01-20,Google Pay,Completed
ORD00000102,CUST005316,2024-12-09,Credit Card,Completed
ORD00000103,CUST001681,2024-02-24,Bank Transfer,Completed
ORD00000104,CUST000586,2024-09-10,Credit Card,Completed
ORD00000105,CUST001629,2024-12-26,Credit Card,Completed
ORD00000106,CUST004584,2024-04-16,PayPal,Completed
ORD00000107,CUST001158,2024-01-03,Apple Pay,Completed
ORD00000108,CUST001316,2024-10-08,Credit Card,Completed
ORD00000109,CUST006354,2024-02-02,Bank Transfer,Completed
ORD00000110,CUST000878,2024-01-12,Debit Card,Completed
ORD00000111,CUST002462,2024-10-04,Debit Card,Completed
ORD00000112,CUST003836,2024-03-21,Bank Transfer,Completed
ORD00000113,CUST006296,2024-11-28,PayPal,Completed
