product_id,category,subcategory,product_name,retail_price,base_cost,supplier_name
PROD00001,Electronics,Smartphones,iPhone 15 Pro,1046.66,681.01,TechSource Global
PROD00002,Electronics,Smartphones,iPhone 15 Pro v2,933.34,607.28,TechSource Global
PROD00003,Electronics,Smartphones,iPhone 15 Pro v3,1034.6,673.16,FastShip Logistics
PROD00004,Electronics,Smartphones,iPhone 15 Pro v4,859.84,559.45,SportsPro Distributors
PROD00005,Electronics,Smartphones,iPhone 15 Pro v5,984.8,640.76,FashionHub International
PROD00006,Electronics,Smartphones,iPhone 15 Pro v6,928.53,604.15,FashionHub International
PROD00007,Electronics,Smartphones,Samsung Galaxy S24,981.12,632.98,BeautyWholesale Co.
PROD00008,Electronics,Smartphones,Samsung Galaxy S24 v2,885.4,571.23,HomeGoods Direct
PROD00009,Electronics,Smartphones,Samsung Galaxy S24 v3,898.68,579.79,ValueChain Inc
PROD00010,Electronics,Smartphones,Samsung Galaxy S24 v4,825.55,532.61,HomeGoods Direct
PROD00011,Electronics,Smartphones,Google Pixel 8,737.84,475.01,FastShip Logistics
PROD00012,Electronics,Smartphones,Google Pixel 8 v2,724.6,466.48,ValueChain Inc
PROD00013,Electronics,Smartphones,Google Pixel 8 v3,662.87,426.74,HomeGoods Direct
PROD00014,Electronics,Smartphones,Google Pixel 8 v4,698.74,449.83,EliteVendor Ltd
PROD00015,Electronics,Smartphones,OnePlus 12,618.9,392.62,SportsPro Distributors
PROD00016,Electronics,Smartphones,OnePlus 12 v2,678.05,430.15,ValueChain Inc
PROD00017,Electronics,Smartphones,OnePlus 12 v3,665.88,422.43,FastShip Logistics
PROD00018,Electronics,Smartphones,OnePlus 12 v4,547.65,347.43,BeautyWholesale Co.
PROD00019,Electronics,Laptops,MacBook Air M3,1368.77,895.66,HomeGoods Direct
PROD00020,Electronics,Laptops,MacBook Air M3 v2,1415.21,926.04,FastShip Logistics
PROD00021,Electronics,Laptops,MacBook Air M3 v3,1137.46,744.3,ValueChain Inc
PROD00022,Electronics,Laptops,Dell XPS 15,1239.19,806.14,FashionHub International
PROD00023,Electronics,Laptops,Dell XPS 15 v2,1245.99,810.57,EliteVendor Ltd
PROD00024,Electronics,Laptops,Dell XPS 15 v3,1350.13,878.32,FastShip Logistics
PROD00025,Electronics,Laptops,Dell XPS 15 v4,1028.31,668.96,FastShip Logistics
PROD00026,Electronics,Laptops,Dell XPS 15 v5,1313.69,854.61,TechSource Global
PROD00027,Electronics,Laptops,HP Spectre x360,1020.79,650.18,ValueChain Inc
PROD00028,Electronics,Laptops,HP Spectre x360 v2,1002.68,638.65,EliteVendor Ltd
PROD00029,Electronics,Laptops,HP Spectre x360 v3,1172.58,746.87,QualityGoods Asia
PROD00030,Electronics,Laptops,Lenovo ThinkPad X1,1606.87,1056.7,BeautyWholesale Co.
PROD00031,Electronics,Laptops,Lenovo ThinkPad X1 v2,1327.36,872.89,HomeGoods Direct
PROD00032,Electronics,Laptops,Lenovo ThinkPad X1 v3,1267.08,833.25,PrimeSupply Corp
PROD00033,Electronics,Laptops,Lenovo ThinkPad X1 v4,1441.93,948.23,HomeGoods Direct
PROD00034,Electronics,Accessories,AirPods Pro,248.14,119.59,HomeGoods Direct
PROD00035,Electronics,Accessories,AirPods Pro v2,263.16,126.82,QualityGoods Asia
PROD00036,Electronics,Accessories,AirPods Pro v3,225.05,108.46,HomeGoods Direct
PROD00037,Electronics,Accessories,AirPods Pro v4,219.26,105.67,PrimeSupply Corp
PROD00038,Electronics,Accessories,AirPods Pro v5,286.1,137.88,SportsPro Distributors
PROD00039,Electronics,Accessories,AirPods Pro v6,222.56,107.26,TechSource Global
